Shot 39: Jarak=16.35, Desnivel=-0.35, Fator=278, Wind=6, Sudut=65.0, Power=3.66
Shot 1: Jarak=12.19, Desnivel=-0.58, Fator=79, Wind=8, Sudut=70.0, Power=3.16
Shot 2: Jarak=12.19, Desnivel=-0.58, Fator=79, Wind=8, Sudut=70.0, Power=3.16
Shot 3: Jarak=12.08, Desnivel=-0.48, Fator=79, Wind=9, Sudut=70.0, Power=3.13
Shot 4: Jarak=8.60, Desnivel=0.07, Fator=79, Wind=10, Sudut=70.0, Power=2.64
Shot 5: Jarak=8.60, Desnivel=0.07, Fator=79, Wind=10, Sudut=70.0, Power=2.64
Shot 6: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=10, Sudut=70.0, Power=3.04
Shot 7: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 8: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 9: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 10: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 11: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 12: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 13: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 14: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 15: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=70.0, Power=3.07
Shot 16: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=65.0, Power=2.82
Shot 17: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=65.0, Power=2.82
Shot 18: Jarak=11.68, Desnivel=-0.59, Fator=79, Wind=9, Sudut=65.0, Power=2.82
Shot 19: Jarak=11.68, Desnivel=-0.59, Fator=178, Wind=1, Sudut=65.0, Power=3.04
Shot 20: Jarak=8.61, Desnivel=-0.54, Fator=178, Wind=2, Sudut=65.0, Power=2.63
Shot 21: Jarak=8.61, Desnivel=-0.54, Fator=178, Wind=0, Sudut=65.0, Power=2.58
Shot 22: Jarak=6.00, Desnivel=-0.34, Fator=178, Wind=2, Sudut=65.0, Power=2.20
Shot 23: Jarak=6.00, Desnivel=-0.34, Fator=178, Wind=2, Sudut=81.0, Power=3.66
Shot 24: Jarak=6.18, Desnivel=-0.29, Fator=178, Wind=1, Sudut=81.0, Power=3.59
Shot 25: Jarak=3.62, Desnivel=-0.06, Fator=178, Wind=0, Sudut=81.0, Power=2.67
Shot 26: Jarak=12.28, Desnivel=0.07, Fator=178, Wind=2, Sudut=81.0, Power=5.25
Shot 27: Jarak=12.28, Desnivel=0.07, Fator=178, Wind=2, Sudut=70.0, Power=3.51
Shot 28: Jarak=9.68, Desnivel=-0.09, Fator=178, Wind=0, Sudut=70.0, Power=3.02
Shot 29: Jarak=9.68, Desnivel=-0.09, Fator=178, Wind=1, Sudut=80.0, Power=4.26
Shot 30: Jarak=9.68, Desnivel=-0.09, Fator=178, Wind=1, Sudut=80.0, Power=4.26
Shot 31: Jarak=9.68, Desnivel=-0.09, Fator=178, Wind=2, Sudut=80.0, Power=4.40
Shot 32: Jarak=10.18, Desnivel=0.15, Fator=178, Wind=1, Sudut=80.0, Power=4.38
Shot 1: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=60.0, Power=0.41
Shot 1: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=60.0, Power=0.41
Shot 1: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=60.0, Power=0.41
Shot 1: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=60.0, Power=0.41
Shot 2: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=60.0, Power=0.41
Shot 3: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=0.0, Power=-2146826281.00
Shot 4: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=89.88, Power=0.38
Shot 5: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=49.88, Power=0.45
Shot 6: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=41.88, Power=0.50
Shot 7: Jarak=10.18, Desnivel=0.15, Fator=12660, Wind=101, Sudut=65.0, Power=0.39
Shot 8: Jarak=4.61, Desnivel=0.11, Fator=299, Wind=24, Sudut=55.0, Power=1.80
Shot 9: Jarak=5.32, Desnivel=0.30, Fator=347, Wind=17, Sudut=75.0, Power=2.09
Shot 10: Jarak=2.89, Desnivel=0.35, Fator=193, Wind=16, Sudut=65.0, Power=1.88
Shot 11: Jarak=1.81, Desnivel=0.78, Fator=348, Wind=3, Sudut=60.0, Power=1.29
Shot 12: Jarak=0.91, Desnivel=0.46, Fator=348, Wind=4, Sudut=60.0, Power=0.94
Shot 13: Jarak=0.87, Desnivel=0.43, Fator=348, Wind=4, Sudut=60.0, Power=0.92
Shot 14: Jarak=1.01, Desnivel=0.40, Fator=348, Wind=3, Sudut=60.0, Power=0.95
Shot 15: Jarak=0.89, Desnivel=0.52, Fator=348, Wind=3, Sudut=60.0, Power=0.97
Shot 16: Jarak=0.88, Desnivel=-0.04, Fator=348, Wind=4, Sudut=60.0, Power=0.75
Shot 1: Jarak=7.84, Desnivel=0.84, Fator=173, Wind=1, Sudut=60.0, Power=2.44
Shot 2: Jarak=7.83, Desnivel=0.28, Fator=173, Wind=1, Sudut=60.0, Power=2.39
Shot 3: Jarak=8.69, Desnivel=0.28, Fator=173, Wind=2, Sudut=60.0, Power=2.53
Shot 4: Jarak=8.57, Desnivel=0.71, Fator=173, Wind=2, Sudut=60.0, Power=2.55
Shot 5: Jarak=8.57, Desnivel=0.71, Fator=173, Wind=2, Sudut=69.0, Power=2.90
Shot 1: Jarak=2.72, Desnivel=-0.09, Fator=235, Wind=2, Sudut=56.0, Power=1.34
Shot 2: Jarak=2.72, Desnivel=-0.09, Fator=235, Wind=2, Sudut=56.0, Power=1.34
